"scenename","scenecontent","ep_number"
"Saratoga - Bridge","LOCUTUS [on viewscreen]: Resistance is futile. You will disarm your weapons and escort us to sector zero zero one. If you attempt to intervene, we will destroy you.",401
"Saratoga - Bridge","CAPTAIN: (a Vulcan) Red alert. Load all torpedo bays. Ready phasers. Move us to position alpha, Ensign.",401
"Saratoga - Bridge","(The space battle begins)",401
"Saratoga - Bridge","OPS OFFICER: (woman) They've locked on.",401
"Saratoga - Bridge","SISKO: Reroute auxiliary power.",401
"Saratoga - Bridge","OPS OFFICER: Our shields are being drained. Sixty four percent. Forty two.",401
"Saratoga - Bridge","CAPTAIN: Recalibrate shield nutation.",401
"Saratoga - Bridge","TACTICAL: (Bolian) Modulation is having no effect.",401
"Saratoga - Bridge","OPS OFFICER: Shields have failed.",401
"Saratoga - Bridge","SISKO: Full reverse.",401
"Saratoga - Bridge","CAPTAIN: Maintain all Argh!",401
"Saratoga - Bridge","(Everything goes BOOM)",401
"Saratoga - Bridge","SISKO: Damage report. Damage report!",401
"Saratoga - Bridge","COMPUTER: Warning. Damage to warp core. Containment failure in five minutes.",401
"Saratoga - Bridge","TACTICAL: Direct hit decks one through four.  SISKO: Let's get the civilians to the escape pods, Lieutenant.",401
"Saratoga - Bridge","TACTICAL: Aye, sir. ",401
"Corridor","SISKO: Leave everything. Get to your assigned evacuation area now.",401
"Corridor","COMPUTER: Warning. Damage to warp core. Containment failure in four minutes.",401
"Corridor","(They come to a woman)",401
"Corridor","SISKO: Doran.",401
"Corridor","TACTICAL: I'll take care of her. You go on.",401
"Corridor","SISKO: Have you seen Jennifer? ",401
"Sisko's quarters","(The room is on fire and Sisko's wife and son are trapped beneath girders and debris)",401
"Sisko's quarters","SISKO: Jennifer? Jake!",401
"Sisko's quarters","COMPUTER: Warning. Damage to warp core. Containment failure in three minutes.",401
"Sisko's quarters","(Sisko starts throwing debris away and pulls the boy out.)",401
"Sisko's quarters","SISKO: I'm going to get your mom. You're going to be okay.",401
"Sisko's quarters","(More debris shifting)",401
"Sisko's quarters","SISKO: Jennifer. Okay, Jake, we'll get your mom out and we'll get out of here.",401
"Sisko's quarters","TACTICAL: Commander!",401
"Sisko's quarters","SISKO: Help me. Jennifer, hold on.",401
"Sisko's quarters","TACTICAL: (scanning her) Sir.",401
"Sisko's quarters","SISKO: Just help me to get her free.",401
"Sisko's quarters","TACTICAL: She's gone. There's nothing we can do. We have to leave.",401
"Sisko's quarters","COMPUTER: Warning. Damage to warp core. Containment failure in two minutes.",401
"Sisko's quarters","TACTICAL: Ensign, take the boy.",401
"Sisko's quarters","ENSIGN: Aye, sir.",401
"Sisko's quarters","TACTICAL: We've got to go now, sir.",401
"Sisko's quarters","SISKO: Damn it, we just can't leave her here.",401
"Sisko's quarters","(The Bolian hauls the protesting Sisko out of the room) ",401
"Runabout","SISKO: Jake. Jake, you're okay.",401
"Runabout","CREWMAN: Stand by to launch.",401
"Runabout","CREWWOMAN: Ready.",401
"Runabout","(And the Saratoga goes KaBOOM) ",401
"Runabout"," Stardate 46379.1. Three years later. ",401
"Fishing pond","(The gangly youth is fishing off a covered bridge)",401
"Fishing pond","SISKO: Jake, there you are. How are they biting?",401
"Fishing pond","JAKE: Small fries. Threw them back. Want to go for a swim?",401
"Fishing pond","SISKO: Don't have time. We have to get ready. It won't be so bad. I've heard that Bajor is a beautiful world.",401
"Fishing pond","JAKE: So why can't we live on the planet instead of some old space station?",401
"Fishing pond","SISKO: The station is in orbit of Bajor. It'll be just like shore duty.",401
"Fishing pond","JAKE: Will there be kids there?",401
"Fishing pond","SISKO: Absolutely. Lots of kids.",401
"Fishing pond","CAPTAIN [OC]: Bridge to Sisko.",401
"Fishing pond","SISKO: Yes, Captain.",401
"Fishing pond","CAPTAIN [OC]: We're approaching Deep Space Nine, Commander. We'll be docking in seven minutes.",401
"Fishing pond","SISKO: Acknowledged. Come on. What do you say? We'll take the pond with us. Computer, end programme. ",401
"Corridor","JAKE: Is that it?",401
"Corridor","(Through a viewing window we see a circular space station with three curved vertical spines above and below. Oh, you know what it looks like.) ",401
"Corridor","Commence station log, Deep Space Nine, Commander Benjamin Sisko, Stardate 46388.2. At the request of the Bajoran provisional government, Starfleet has agreed to establish a Federation presence in this system following the withdrawal of Cardassian occupational forces. The first contingent of officers, including my Chief of Operations, Miles O'Brien, arrived two days ago on the Enterprise. ",401
"Promenade","(The place looks like it's been in the middle of a war zone. O'Brien is in black overalls with coloured shoulders whilst Sisko is in the TNG style uniform still.)",401
"Promenade","O'BRIEN: I'm told the Cardassians decided to have some fun the day they left. Four Bajorans were killed trying to protect their shops.",401
"Promenade","SISKO: Why hasn't anybody cleaned this up?",401
"Promenade","O'BRIEN: We've got all available personnel assigned to repairing primary systems, sir. The Cardassians took every component of value. We're virtually defenceless. I discussed this with Major Kira, the attachÃ© assigned here by the Bajoran government and we decided",401
"Promenade","SISKO: Understood. What about the civilians who operated these shops?",401
"Promenade","O'BRIEN: A lot of them lost everything they had. A few are trying to rebuild, but most are packing up to leave. ",401
