"scenename","scenecontent","ep_number"
"Holosuite","(Dax appears to be meditating as a large balloon floats in front of her)",403
"Holosuite","DAX: Do you need me, Julian?",403
"Holosuite","BASHIR: How did you know it was me?",403
"Holosuite","DAX: There are different ways to recognise someone. The rhythm of their steps, for example.",403
"Holosuite","BASHIR: You are remarkable.",403
"Holosuite","DAX: Julian, you and I have to have a talk about Trills and relationships.",403
"Holosuite","BASHIR: Fine. We'll do it over supper. Quark has found me this delightfully dry champagne estate bottled on Korris One.",403
"Holosuite","DAX: Julian.",403
"Holosuite","BASHIR: What is this?",403
"Holosuite","DAX: An Altonian brain teaser.",403
"Holosuite","BASHIR: A brain teaser?",403
"Holosuite","DAX: A puzzle.",403
"Holosuite","BASHIR: A puzzle? I love puzzles. How does it work?",403
"Holosuite","DAX: It responds to neural theta waves. The goal is to turn the sphere into a solid colour.",403
"Holosuite","BASHIR: That's all?",403
"Holosuite","DAX: That's all. I've been trying to master it on and off for, oh, a hundred and forty years. Would you care to try?",403
"Holosuite","BASHIR: Yes.",403
"Holosuite","DAX: Just sit comfortably, and release your tension into my hands.",403
"Holosuite","Dax strokes his head)",403
"Holosuite","BASHIR: Your hands are cold.",403
"Holosuite","DAX: It's a peculiarity of the Trill.",403
"Holosuite","BASHIR: Cold hands, warm heart.",403
"Holosuite","DAX: Concentrate on the sphere. Clear your mind. This requires focus and clarity of thought.",403
"Holosuite","BASHIR: I understand completely. What is that exotic scent you're wearing?",403
"Holosuite","DAX: Focus and clarity of thought.",403
"Holosuite","BASHIR: Yes, yes, I have it.",403
"Holosuite","DAX: I'm going to release it to you now, okay?",403
"Holosuite","BASHIR: Okay.",403
"Holosuite","DAX: Computer, transfer control to second player.",403
"Holosuite","(The sphere goes kaleidoscope then disappears)",403
"Holosuite","DAX: I think your mind is still a little busy, Julian.",403
"Holosuite","BASHIR: So, are you free for supper?",403
"Holosuite","(Sisko enters)",403
"Holosuite","SISKO: Ready, Dax?",403
"Holosuite","DAX: Sorry. Perhaps another time. Maybe you'd like to try again.",403
"Holosuite","SISKO: Doctor.",403
"Holosuite","(Dax and Sisko leave)",403
"Holosuite","BASHIR: Computer. Reset. ",403
"Quark's","ODO: Business is good, Quark. You're almost making an honest living.",403
"Quark's","QUARK: A lot of new faces.",403
"Quark's","ODO: The wormhole does bring them our way, doesn't it?",403
"Quark's","QUARK: Everybody wants a piece of the new frontier.",403
"Quark's","ODO: And I'm sure you've already tried to sell it to a few of them.",403
"Quark's","(Raised voices at an upstairs table)",403
"Quark's","O'BRIEN: We made the decision together.",403
"Quark's","KEIKO: Not true. That's not true. You decided and asked me to agree with it.",403
"Quark's","QUARK: Grapevine says Chief O'Brien and the missus are having problems.",403
"Quark's","ODO: I'll never understand the humanoid need to couple.",403
"Quark's","QUARK: You've never coupled?",403
"Quark's","ODO: Choose not to. Too many compromises. You want to watch the karo-net tournament, she wants to listen to music, so you compromise. You listen to music. You like Earth jazz, she prefers Klingon opera, so you compromise. You listen to Klingon opera. So here you were ready to have a nice night watching the karo-net match and you wind up spending an agonising night listening to Klingon opera.",403
"Quark's","KEIKO: That's exactly what I'm saying.",403
"Quark's","O'BRIEN: Keiko, sit down, please.",403
"Quark's","ODO: What could they be going on about like that anyway?",403
"Quark's","QUARK: She doesn't like it here.",403
"Quark's","ODO: Who does?",403
"Quark's","(Sisko and Dax are on the upper level, and Quark makes an appreciative growl)",403
"Quark's","ODO: Don't even think about it.",403
"Quark's","QUARK: I can so think about it.",403
"Quark's","ODO: You might as well try to find a drink of water on the Yadozi desert. Besides I'd say our new Commander is interested in her.",403
"Quark's","QUARK: Not at all. I know for a fact, when she was a he, you know, before she got this new body, they were old friends.",403
"Quark's","ODO: Things change.",403
"Quark's","IRUDAN: All right now, here we go.",403
"Quark's","(Odo spots someone at the Dabo table)",403
"Quark's","ODO: How long has he been here?",403
"Quark's","IBUDAN: All right, one more time.",403
"Quark's","QUARK: He came in on a transport last night. ",403
"Quark's cafe","(Sisko and Dax are at their table)",403
"Quark's cafe","WAITER: Something to eat?",403
"Quark's cafe","DAX: Just steamed azna.",403
"Quark's cafe","SISKO: Well, some things are still the same.",403
"Quark's cafe","DAX: If you'd listen to me, you would eat steamed azna too.",403
"Quark's cafe","SISKO: Dax, did I ever tell you about the meals my father used to cook for us when we were children?",403
"Quark's cafe","DAX: All the time.",403
"Quark's cafe","SISKO: Every night in my house, my dad insisted that we have supper together as a family. He would try out his new recipes on us. He used to call us his test tasters.",403
"Quark's cafe","DAX: Steamed azna will put years on your life.",403
"Quark's cafe","SISKO: Dax, I don't want years on my life if I can only eat steamed azna. Saut̩ed, rolloped, fricasseed, fine. But not steamed. I've missed your steamed azna.",403
"Quark's cafe","DAX: You must miss Curzon, too.",403
"Quark's cafe","SISKO: He was, you were, are a mentor, another father to me.",403
"Quark's cafe","DAX: This happens to Trills, Benjamin. Sometimes, our friendships with other species don't survive because of the change.",403
"Quark's cafe","SISKO: It won't be that way with us. It's just a little uncomfortable right now.",403
"Quark's cafe","DAX: I suggest you that allow yourself to be comfortable with your discomfort. Time can do the rest.",403
"Quark's cafe","O'BRIEN: Keiko.",403
"Quark's cafe","(Keiko is leaving, and O'Brien follows her.) ",403
"Quark's","(Back downstairs)",403
"Quark's","DABO GIRL: Dabo!",403
"Quark's","IRUDAN: All right.",403
"Quark's","ODO: I don't want you on this station.",403
"Quark's","IBUDAN: Yeah, well that's too bad, because I have every right to be here.",403
"Quark's","ODO: I decide who has rights and who doesn't on this Promenade.",403
"Quark's","IBUDAN: You'd better ask your Federation superiors about that one.",403
"Quark's","ODO: I don't have to check with anyone.",403
"Quark's","IRUDAN: Get off me.",403
"Quark's","(There's a fight and Sisko runs down to separate them.)",403
"Quark's","ODO: You have twenty-six hours to get off this station. ",403
"Promenade upper level","O'BRIEN: Look, I'm willing to ask for a transfer if that'll make you happy.",403
"Promenade upper level","KEIKO: That's not fair either. You'd have to give up your promotion.",403
"Promenade upper level","O'BRIEN: Not necessarily.",403
"Promenade upper level","KEIKO: I wish I knew the right thing to do. I'm just lost here. Starfleet doesn't need a botanist on this station.",403
"Promenade upper level","O'BRIEN: Keiko, there's a whole new quadrant on the other side of the wormhole, full of new plant life to explore.",403
"Promenade upper level","KEIKO: And ships going to explore it and I'm not on any of them.",403
"Promenade upper level","O'BRIEN: We'll be sending runabouts through the wormhole. I'll see to it you get to go.",403
"Promenade upper level","KEIKO: I don't need favours from you. I just need to be useful.",403
"Promenade upper level","O'BRIEN: Just think how much more attractive this place could be if you planted some trees and flowers on the Promenade. You could even create an arboretum from the new specimens we bring back from the Gamma Quadrant.",403
"Promenade upper level","KEIKO: Do you really want to raise your daughter in this place, Miles?",403
"Promenade upper level","KIRA [OC]: Kira to O'Brien.",403
"Promenade upper level","O'BRIEN: Go ahead.",403
"Promenade upper level","KIRA: We have a non-functional power transfer grid on level five. All the upper docking pylons are out of commission.",403
"Promenade upper level","O'BRIEN: On my way. ",403
"Promenade","(Nog has bought a confection on a stick from a kiosk)",403
"Promenade","JAKE: Hi.",403
"Promenade","NOG: What do you want, Human?",403
"Promenade","JAKE: My name's Jake.",403
"Promenade","NOG: I know who you are.",403
"Promenade","JAKE: What's yours?",403
"Promenade","NOG: Why do you care?",403
"Promenade","JAKE: Not exactly a lot of friends to choose from around here. You know what I mean.",403
"Promenade","NOG: Nog. My name's Nog. ",403
"Commander's office","ODO: His name is Ibudan. He used to run black market goods through here to the surface during the Cardassian occupation, gouging his fellow man who needed medical supplies and so forth. Some Bajorans actually considered him a hero, but I saw him let a child die when the parents couldn't afford the drug that would've saved her life. A few years back, he killed a Cardassian officer who wanted a payoff to look the other way. He went to prison for murder. I sent him there.",403
"Commander's office","SISKO: For murder? What's he doing out?",403
"Commander's office","ODO: The Provisional Government let him go. Killing a Cardassian isn't considered much of a crime nowadays.",403
"Commander's office","SISKO: Doesn't sound like there's much we can do about it.",403
"Commander's office","ODO: I can get him off my Promenade.",403
"Commander's office","SISKO: If he hasn't done anything wrong, you can't just arbitrarily force him to leave.",403
"Commander's office","ODO: Watch me.",403
"Commander's office","SISKO: Mister Odo, you're not going to take the law into your own hands.",403
"Commander's office","ODO: The law? Commander, laws change depending on who's making them. Cardassians one day, Federation the next. But justice is justice, and as long as I'm in charge of security.",403
"Commander's office","SISKO: If you can't work within the rules, I'll find someone who can. ",403
"Holosuite","(Iduban is running a sensuous programme including birdsong and a massage, when someone with a wicked looking knife cuts it short.) ",403
"Promenade","(Nog has some bugs in a matchbox.)",403
"Promenade","JAKE: What are they?",403
"Promenade","NOG: Garanian bolites. Come on.",403
"Promenade","BASHIR: I guess I know the competition now.",403
"Promenade","DAX: What are you talking about, Julian?",403
"Promenade","BASHIR: Did you have a nice dinner with Commander Sisko?",403
"Promenade","DAX: Julian, Trills do not look for romance the way humans do. In fact, we find it quite a nuisance.",403
"Promenade","BASHIR: A nuisance?",403
