"scenename","scenecontent","ep_number"
"Bashir's bedroom","COMPUTER: Doctor Bashir. The time is oh five hundred.",575
"Bashir's bedroom","BASHIR: Yeah, all right.",575
"Bashir's bedroom","EZRI: Julian.",575
"Bashir's bedroom","BASHIR: Yes.",575
"Bashir's bedroom","EZRI: We have to get up.",575
"Bashir's bedroom","BASHIR: Are you sure?",575
"Bashir's bedroom","EZRI: It's a big day.",575
"Bashir's bedroom","BASHIR: It was a big night. It cleared up a lot of unanswered questions.",575
"Bashir's bedroom","EZRI: Such as?",575
"Bashir's bedroom","BASHIR: Such as just how far these spots really go down.",575
"Bashir's bedroom","EZRI: I suppose you'll want to tell Miles.",575
"Bashir's bedroom","BASHIR: Why would I want to do that?",575
"Bashir's bedroom","EZRI: Because you tell him everything.",575
"Bashir's bedroom","BASHIR: True, but you know what? In this case, I'm going to make an exception.",575
"Bashir's bedroom","EZRI: Good. Oh, we really should get up. We don't want the Defiant leaving without us.",575
"Bashir's bedroom","BASHIR: You know, I've never been into battle with someone I've slept with before.",575
"Bashir's bedroom","EZRI: There's a first time for everything.",575
"Bashir's bedroom","BASHIR: Now that we're finally together, it'd be such a shame if something happened to one of us.",575
"Bashir's bedroom","EZRI: Let's make a pact. We both come home alive.",575
"Bashir's bedroom","BASHIR: You've got yourself a deal.",575
"Bashir's bedroom","EZRI: I'm holding you to that. ",575
"O'Brien's quarters","O'BRIEN: Oh, and don't forget Kirayoshi has his checkup at oh nine hundred tomorrow.",575
"O'Brien's quarters","KEIKO: I've already confirmed the appointment with Nurse Bandee. One more bite",575
"O'Brien's quarters","O'BRIEN: And don't stay up too late writing that paper on, what those trees are called?",575
"O'Brien's quarters","KEIKO: Arfillian Ficus and they're not trees, they're shrubs.",575
"O'Brien's quarters","O'BRIEN: Yeah, well, try to get some sleep. Oh, and",575
"O'Brien's quarters","KEIKO: Honey, we'll be fine. Stop worrying.",575
"O'Brien's quarters","O'BRIEN: Right. Molly. Please don't touch that.",575
"O'Brien's quarters","(Molly is about to play with the Alamo model soldiers.)",575
"O'Brien's quarters","MOLLY: I let you play with my toys.",575
